device: cuda
training begins
[  1]	Train-loss: 0.014235	Validation-loss: 0.011286	12Margin-error: 0.285216
[ 78]	Train-loss: 0.008324	Validation-loss: 0.008429	12Margin-error: 0.250071
[ 79]	Train-loss: 0.008320	Validation-loss: 0.008595	12Margin-error: 0.281420
[ 80]	Train-loss: 0.008312	Validation-loss: 0.008384	12Margin-error: 0.249147
[ 81]	Train-loss: 0.008320	Validation-loss: 0.008397	12Margin-error: 0.249490
[ 82]	Train-loss: 0.008301	Validation-loss: 0.008474	12Margin-error: 0.271606
[ 83]	Train-loss: 0.008318	Validation-loss: 0.008458	12Margin-error: 0.257962
[ 84]	Train-loss: 0.008303	Validation-loss: 0.008554	12Margin-error: 0.245349
[ 85]	Train-loss: 0.008303	Validation-loss: 0.008386	12Margin-error: 0.251457
[ 86]	Train-loss: 0.008313	Validation-loss: 0.008405	12Margin-error: 0.253659
[ 87]	Train-loss: 0.008307	Validation-loss: 0.008442	12Margin-error: 0.248362
[ 88]	Train-loss: 0.008292	Validation-loss: 0.008584	12Margin-error: 0.241787
[ 89]	Train-loss: 0.008297	Validation-loss: 0.008411	12Margin-error: 0.243743
[ 90]	Train-loss: 0.008294	Validation-loss: 0.008356	12Margin-error: 0.239457
[ 91]	Train-loss: 0.008304	Validation-loss: 0.008389	12Margin-error: 0.260704
[ 92]	Train-loss: 0.008285	Validation-loss: 0.008404	12Margin-error: 0.253327
[ 93]	Train-loss: 0.008280	Validation-loss: 0.008491	12Margin-error: 0.273813
[ 94]	Train-loss: 0.008293	Validation-loss: 0.008466	12Margin-error: 0.263390
[ 95]	Train-loss: 0.008301	Validation-loss: 0.008450	12Margin-error: 0.264148
[ 96]	Train-loss: 0.008300	Validation-loss: 0.008603	12Margin-error: 0.277850
[ 97]	Train-loss: 0.008282	Validation-loss: 0.008415	12Margin-error: 0.232564
[ 98]	Train-loss: 0.008275	Validation-loss: 0.008703	12Margin-error: 0.262136
[ 99]	Train-loss: 0.008284	Validation-loss: 0.008384	12Margin-error: 0.263777
[100]	Train-loss: 0.008282	Validation-loss: 0.008437	12Margin-error: 0.253761
Finished Training with Minimum Validation Loss: 0.008356 at Epoch: 91
